<NOISE> 1.0	NSN
kho̍k 1.0	kh er k_T8
kho̍k-hî 1.0	kh er k_T8 h i5
kho̍k-hû 1.0	kh er k_T8 h u5
kho̍k-kho̍k 1.0	kh er k_T8 kh er k_T8
kho̍k-kho̍k-háu 1.0	kh er k_T8 kh er k_T8 h a u2
kho̍k-kho̍k-kiò 1.0	kh er k_T8 kh er k_T8 k i er3
kho̍k-kho̍k-kóng 1.0	kh er k_T8 kh er k_T8 k er ng2
kho̍k-kho̍k-tih 1.0	kh er k_T8 kh er k_T8 t i h_T4
kho̍k-kho̍k-tán 1.0	kh er k_T8 kh er k_T8 t a nn2
kho̍k-tio̍h 1.0	kh er k_T8 t i er h_T8
kho̍k-tsi̍t-ē 1.0	kh er k_T8 ts i t_T8 e7
kho̍k-tsí 1.0	kh er k_T8 ts i2
kho̍k-á 1.0	kh er k_T8 a2
kho̍k-á-thâu 1.0	kh er k_T8 a2 th a u5
khu 1.0	kh u1
khu-ah 1.0	kh u1 a h_T4
khu-bóng-sià 1.0	kh u1 b_T er ng2 s i a3
khu-gô 1.0	kh u1 g_T er5
khu-hi̍k 1.0	kh u1 h i k_T8
khu-hun 1.0	kh u1 h u nn1
khu-huē 1.0	kh u1 h u e7
khu-ia̍h 1.0	kh u1 i a h_T8
khu-ia̍h-tîunn 1.0	kh u1 i a h_T8 t i u nn_T5
khu-i̍k 1.0	kh u1 i k_T8
khu-kan 1.0	kh u1 k a nn1
khu-keh 1.0	kh u1 k e h_T4
khu-khu 1.0	kh u1 kh u1
khu-kong-sóo 1.0	kh u1 k er ng1 s o2
khu-kuánn 1.0	kh u1 k u a nn_T2
khu-kìm 1.0	kh u1 k i m_T3
khu-lá-tsì 1.0	kh u1 l a2 ts i3
khu-lé 1.0	kh u1 l e2
khu-lí 1.0	kh u1 l i2
khu-lîu 1.0	kh u1 l i u5
khu-lîu-sóo 1.0	kh u1 l i u5 s o2
khu-lô 1.0	kh u1 l er5
khu-ná-hue 1.0	kh u1 n a2 h u e1
khu-phiò 1.0	kh u1 ph i er3
khu-phiô 1.0	kh u1 ph i er5
khu-pia̍t 1.0	kh u1 p i a t_T8
khu-póo 1.0	kh u1 p o2
khu-sian-sinn 1.0	kh u1 s i a nn1 s i nn_T1
khu-siâ 1.0	kh u1 s i a5
khu-sok 1.0	kh u1 s er k_T4
khu-síu 1.0	kh u1 s i u2
khu-sòo 1.0	kh u1 s o3
khu-ta̍k 1.0	kh u1 t a k_T8
khu-thê 1.0	kh u1 th e5
khu-tio̍k 1.0	kh u1 t i er k_T8
khu-tio̍k-lām 1.0	kh u1 t i er k_T8 l a m_T7
khu-tsip 1.0	kh u1 ts i p_T4
khu-tsuâ 1.0	kh u1 ts u a5
khu-tuānn 1.0	kh u1 t u a nn_T7
khu-tíunn 1.0	kh u1 t i u nn_T2
khu-tî 1.0	kh u1 t i5
khu-tû 1.0	kh u1 t u5
khu-tōng 1.0	kh u1 t er ng7
khu-ūn 1.0	kh u1 u nn7
khua 1.0	kh u a1
khua-iāu 1.0	kh u a1 i a u7
khua-kháu 1.0	kh u a1 kh a u2
khua-tiong 1.0	kh u a1 t i er ng1
khua-tsióng 1.0	kh u a1 ts i er ng2
khua-tsàn 1.0	kh u a1 ts a nn3
khua-tuā 1.0	kh u a1 t u a7
khua-tāi 1.0	kh u a1 t a i7
khuah 1.0	kh u a h_T4
khuah-bóng-bóng 1.0	kh u a h_T4 b_T er ng2 b_T er ng2
khuah-bīn 1.0	kh u a h_T4 b_T i nn7
khuah-e̍h 1.0	kh u a h_T4 e h_T8
khuah-khì 1.0	kh u a h_T4 kh i3
khuah-khǹg 1.0	kh u a h_T4 kh ngs_T3
khuah-lòng-lòng 1.0	kh u a h_T4 l er ng3 l er ng3
khuah-lóng-lóng 1.0	kh u a h_T4 l er ng2 l er ng2
khuah-pak 1.0	kh u a h_T4 p a k_T4
khuah-sai-sai 1.0	kh u a h_T4 s a i1 s a i1
khuah-sin 1.0	kh u a h_T4 s i nn1
khuah-tshuì 1.0	kh u a h_T4 tsh u i3
khuah-tshuì-ho̍h 1.0	kh u a h_T4 tsh u i3 h er h_T8
khuah-tshuì-á 1.0	kh u a h_T4 tsh u i3 a2
khuah-tuā 1.0	kh u a h_T4 t u a7
khuah-tōo 1.0	kh u a h_T4 t o7
khuah-ue̍h 1.0	kh u a h_T4 u e h_T8
khuai 1.0	kh u a i1
khuainn 1.0	kh u a i nn_T1
khuan 1.0	kh u a nn1
khuan-bián 1.0	kh u a nn1 b_T i a nn2
khuan-huâi 1.0	kh u a nn1 h u a i5
khuan-hông 1.0	kh u a nn1 h er ng5
khuan-hông-tāi-liōng 1.0	kh u a nn1 h er ng5 t a i7 l i er ng7
khuan-hān 1.0	kh u a nn1 h a nn7
khuan-hōo 1.0	kh u a nn1 h o7
khuan-i 1.0	kh u a nn1 i1
khuan-iông 1.0	kh u a nn1 i er ng5
khuan-jū 1.0	kh u a nn1 j_T u7
khuan-khuah 1.0	kh u a nn1 kh u a h_T4
khuan-kî 1.0	kh u a nn1 k i5
khuan-liōng 1.0	kh u a nn1 l i er ng7
khuan-sang 1.0	kh u a nn1 s a ng1
khuan-sim 1.0	kh u a nn1 s i m_T1
khuan-sià 1.0	kh u a nn1 s i a3
khuan-sù 1.0	kh u a nn1 s u3
khuan-thò 1.0	kh u a nn1 th er3
khuan-thāi 1.0	kh u a nn1 th a i7
khuan-tāi 1.0	kh u a nn1 t a i7
khuan-tōo 1.0	kh u a nn1 t o7
khuan-uān 1.0	kh u a nn1 u a nn7
khuan-ān 1.0	kh u a nn1 a nn7
khuann 1.0	kh u a nn_T1
khuann-bān 1.0	kh u a nn_T1 b_T a nn7
khuann-khuann 1.0	kh u a nn_T1 kh u a nn_T1
khuann-khuann-á 1.0	kh u a nn_T1 kh u a nn_T1 a2
khuann-khuann-á-kiânn 1.0	kh u a nn_T1 kh u a nn_T1 a2 k i a nn_T5
khuann-khuann-á-sī 1.0	kh u a nn_T1 kh u a nn_T1 a2 s i7
khuann-kín 1.0	kh u a nn_T1 k i nn2
khuann-á 1.0	kh u a nn_T1 a2
khuann-á-kiânn 1.0	kh u a nn_T1 a2 k i a nn_T5
khuann-á-sī 1.0	kh u a nn_T1 a2 s i7
khuat 1.0	kh u a t_T4
khuat-gia̍h 1.0	kh u a t_T4 g_T i a h_T8
khuat-gî 1.0	kh u a t_T4 g_T i5
khuat-ha̍t 1.0	kh u a t_T4 h a t_T8
khuat-hua̍t 1.0	kh u a t_T4 h u a t_T8
khuat-hām 1.0	kh u a t_T4 h a m_T7
khuat-jû 1.0	kh u a t_T4 j_T u5
khuat-khò 1.0	kh u a t_T4 kh er3
khuat-nîu 1.0	kh u a t_T4 n i u5
khuat-sit 1.0	kh u a t_T4 s i t_T4
khuat-si̍k 1.0	kh u a t_T4 s i k_T8
khuat-tik 1.0	kh u a t_T4 t i k_T4
khuat-tiám 1.0	kh u a t_T4 t i a m_T2
khuat-tsuí 1.0	kh u a t_T4 ts u i2
khua̍t 1.0	kh u a t_T8
khue 1.0	kh u e1
khue-bé 1.0	kh u e1 b_T e2
khue-ho̍k 1.0	kh u e1 h er k_T8
khue-ho̍k-kî 1.0	kh u e1 h er k_T8 k i5
khue-huānn 1.0	kh u e1 h u a nn_T7
khue-hâi 1.0	kh u e1 h a i5
khue-hô 1.0	kh u e1 h er5
khue-kah 1.0	kh u e1 k a h_T4
khue-kau 1.0	kh u e1 k a u1
khue-khue 1.0	kh u e1 kh u e1
khue-kháu 1.0	kh u e1 kh a u2
khue-ko-á 1.0	kh u e1 k er1 a2
khue-kok 1.0	kh u e1 k er k_T4
khue-luà 1.0	kh u e1 l u a3
khue-lâu 1.0	kh u e1 l a u5
khue-lîu 1.0	kh u e1 l i u5
khue-ni̍h 1.0	kh u e1 n i h_T8
khue-pinn 1.0	kh u e1 p i nn_T1
khue-poo 1.0	kh u e1 p o1
khue-sian 1.0	kh u e1 s i a nn1
khue-sing-iâ 1.0	kh u e1 s i ng1 i a5
khue-sua-poo 1.0	kh u e1 s u a1 p o1
khue-sué 1.0	kh u e1 s u e2
khue-sé 1.0	kh u e1 s e2
khue-sìnn 1.0	kh u e1 s i nn_T3
khue-thâu 1.0	kh u e1 th a u5
khue-tiong 1.0	kh u e1 t i er ng1
khue-tshú 1.0	kh u e1 tsh u2
khue-tsiu 1.0	kh u e1 ts i u1
khue-tsuí 1.0	kh u e1 ts u i2
khue-tué 1.0	kh u e1 t u e2
khue-á 1.0	kh u e1 a2
khueh 1.0	kh u e h_T4
khueh-ba̍k 1.0	kh u e h_T4 b_T a k_T8
khueh-khiàm 1.0	kh u e h_T4 kh i a m_T3
khueh-khueh 1.0	kh u e h_T4 kh u e h_T4
khueh-sio 1.0	kh u e h_T4 s i er1
khueh-tio̍h 1.0	kh u e h_T4 t i er h_T8
khueh-tsiap 1.0	kh u e h_T4 ts i a p_T4
khueh-tsue̍h 1.0	kh u e h_T4 ts u e h_T8
khueh-ue̍h 1.0	kh u e h_T4 u e h_T8
khueh-uá 1.0	kh u e h_T4 u a2
khueh-á 1.0	kh u e h_T4 a2
khueh-îu 1.0	kh u e h_T4 i u5
khue̍h 1.0	kh u e h_T8
khuh 1.0	kh u h_T4
khuh-khuh-sàu 1.0	kh u h_T4 kh u h_T4 s a u3
khui 1.0	kh u i1
khui-ah 1.0	kh u i1 a h_T4
khui-ba̍k 1.0	kh u i1 b_T a k_T8
khui-bīn 1.0	kh u i1 b_T i nn7
khui-bōo 1.0	kh u i1 b_T o7
khui-gī 1.0	kh u i1 g_T i7
khui-hia̍t 1.0	kh u i1 h i a t_T8
khui-hng 1.0	kh u i1 h ngs_T1
khui-hong 1.0	kh u i1 h er ng1
khui-huat-phiò 1.0	kh u i1 h u a t_T4 ph i er3
khui-hua̍t-tuann 1.0	kh u i1 h u a t_T8 t u a nn_T1
khui-hue 1.0	kh u i1 h u e1
khui-hue-khì 1.0	kh u i1 h u e1 kh i3
khui-hué 1.0	kh u i1 h u e2
khui-huē 1.0	kh u i1 h u e7
khui-hâng 1.0	kh u i1 h a ng5
khui-hâng-tsē-tiàm 1.0	kh u i1 h a ng5 ts e7 t i a m_T3
khui-hî-tî 1.0	kh u i1 h i5 t i5
khui-hùn 1.0	kh u i1 h u nn3
khui-hōo 1.0	kh u i1 h o7
khui-hū 1.0	kh u i1 h u7
khui-io̍h 1.0	kh u i1 i er h_T8
khui-io̍h-hng 1.0	kh u i1 i er h_T8 h ngs_T1
khui-io̍h-tuann 1.0	kh u i1 i er h_T8 t u a nn_T1
khui-io̍h-á 1.0	kh u i1 i er h_T8 a2
khui-iā-tshia 1.0	kh u i1 i a7 tsh i a1
khui-kau 1.0	kh u i1 k a u1
khui-kha 1.0	kh u i1 kh a1
khui-kha-khòo 1.0	kh u i1 kh a1 kh o3
khui-kha-thian 1.0	kh u i1 kh a1 th i a nn1
khui-khang 1.0	kh u i1 kh a ng1
khui-khing 1.0	kh u i1 kh i ng1
khui-khiàm 1.0	kh u i1 kh i a m_T3
khui-khiàu 1.0	kh u i1 kh i a u3
khui-khong 1.0	kh u i1 kh er ng1
khui-khuah 1.0	kh u i1 kh u a h_T4
khui-khuah-ê-sóo-tsāi 1.0	kh u i1 kh u a h_T4 e5 s o2 ts a i7
khui-khui 1.0	kh u i1 kh u i1
khui-khuànn 1.0	kh u i1 kh u a nn_T3
khui-kháu 1.0	kh u i1 kh a u2
khui-khì 1.0	kh u i1 kh i3
khui-khò 1.0	kh u i1 kh er3
khui-khòng 1.0	kh u i1 kh er ng3
khui-ki 1.0	kh u i1 k i1
khui-king 1.0	kh u i1 k i ng1
khui-kng 1.0	kh u i1 k ngs_T1
khui-ku 1.0	kh u i1 k u1
khui-kuan-giām-si 1.0	kh u i1 k u a nn1 g_T i a m_T7 s i1
khui-kuí-m̂ng 1.0	kh u i1 k u i2 ms_T ng5
khui-kè 1.0	kh u i1 k e3
khui-li̍p 1.0	kh u i1 l i p_T8
khui-lâi 1.0	kh u i1 l a i5
khui-lâng 1.0	kh u i1 l a ng5
khui-lōo 1.0	kh u i1 l o7
khui-m̂ng 1.0	kh u i1 ms_T ng5
khui-o̍h 1.0	kh u i1 er h_T8
khui-pan 1.0	kh u i1 p a nn1
khui-pau 1.0	kh u i1 p a u1
khui-phiò 1.0	kh u i1 ph i er3
khui-phiò-sóo 1.0	kh u i1 ph i er3 s o2
khui-phuà 1.0	kh u i1 ph u a3
khui-phàu 1.0	kh u i1 ph a u3
khui-phâng 1.0	kh u i1 ph a ng5
khui-pio 1.0	kh u i1 p i er1
khui-puânn 1.0	kh u i1 p u a nn_T5
khui-pî 1.0	kh u i1 p i5
khui-pî-thng 1.0	kh u i1 p i5 th ngs_T1
khui-pî-tsháu 1.0	kh u i1 p i5 tsh a u2
khui-pîng-hong 1.0	kh u i1 p i ng5 h er ng1
khui-pînn 1.0	kh u i1 p i nn_T5
khui-pún 1.0	kh u i1 p u nn2
khui-pān 1.0	kh u i1 p a nn7
khui-pōo 1.0	kh u i1 p o7
khui-siann 1.0	kh u i1 s i a nn_T1
khui-siann-khàu 1.0	kh u i1 s i a nn_T1 kh a u3
khui-siat 1.0	kh u i1 s i a t_T4
khui-sim 1.0	kh u i1 s i m_T1
khui-sim-sū 1.0	kh u i1 s i m_T1 s u7
khui-sit 1.0	kh u i1 s i t_T4
khui-suann 1.0	kh u i1 s u a nn_T1
khui-sì-tîunn 1.0	kh u i1 s i3 t i u nn_T5
khui-só 1.0	kh u i1 s er2
khui-sún 1.0	kh u i1 s u nn2
khui-sńg-luī-luī 1.0	kh u i1 s ngs_T2 l u i7 l u i7
khui-thang-á-m̂ng 1.0	kh u i1 th a ng1 a2 ms_T ng5
khui-thiah 1.0	kh u i1 th i a h_T4
khui-thinn-thang 1.0	kh u i1 th i nn_T1 th a ng1
khui-thinn-tuē 1.0	kh u i1 th i nn_T1 t u e7
khui-thàu 1.0	kh u i1 th a u3
khui-thâu 1.0	kh u i1 th a u5
khui-thāi 1.0	kh u i1 th a i7
khui-tit 1.0	kh u i1 t i t_T4
khui-tiàm 1.0	kh u i1 t i a m_T3
khui-tn̂g 1.0	kh u i1 t ngs_T5
khui-to 1.0	kh u i1 t er1
khui-to-pâng 1.0	kh u i1 t er1 p a ng5
khui-toh 1.0	kh u i1 t er h_T4
khui-tshe 1.0	kh u i1 tsh e1
khui-tshia 1.0	kh u i1 tsh i a1
khui-tsho 1.0	kh u i1 tsh er1
khui-tshun 1.0	kh u i1 tsh u nn1
khui-tshut 1.0	kh u i1 tsh u t_T4
khui-tshuì 1.0	kh u i1 tsh u i3
khui-tshuì-kiāu 1.0	kh u i1 tsh u i3 k i a u7
khui-tshài 1.0	kh u i1 tsh a i3
khui-tshân 1.0	kh u i1 tsh a nn5
khui-tshìng 1.0	kh u i1 tsh i ng3
khui-tshíu 1.0	kh u i1 tsh i u2
khui-tshī 1.0	kh u i1 tsh i7
khui-tsi-phiò 1.0	kh u i1 ts i1 ph i er3
khui-tsiann 1.0	kh u i1 ts i a nn_T1
khui-tsián 1.0	kh u i1 ts i a nn2
khui-tsuí-lōo 1.0	kh u i1 ts u i2 l o7
khui-tsénn 1.0	kh u i1 ts e nn_T2
khui-tsín 1.0	kh u i1 ts i nn2
khui-tsínn 1.0	kh u i1 ts i nn_T2
khui-tsînn 1.0	kh u i1 ts i nn_T5
khui-tsûn 1.0	kh u i1 ts u nn5
khui-tuann 1.0	kh u i1 t u a nn_T1
khui-tué-khòo 1.0	kh u i1 t u e2 kh o3
khui-tî 1.0	kh u i1 t i5
khui-tîng 1.0	kh u i1 t i ng5
khui-tōng 1.0	kh u i1 t er ng7
khui-uî 1.0	kh u i1 u i5
khui-á 1.0	kh u i1 a2
khui-îunn 1.0	kh u i1 i u nn_T5
khui-óo 1.0	kh u i1 o2
khun 1.0	kh u nn1
khun-gio̍k 1.0	kh u nn1 g_T i er k_T8
khun-iông 1.0	kh u nn1 i er ng5
khun-lûn-suann 1.0	kh u nn1 l u nn5 s u a nn_T1
khun-san 1.0	kh u nn1 s a nn1
khun-thiông 1.0	kh u nn1 th i er ng5
khun-tiōng 1.0	kh u nn1 t i er ng7
khun-tshuì-tshiu 1.0	kh u nn1 tsh u i3 tsh i u1
khunnh 1.0	kh u nn_T h_T4
khut 1.0	kh u t_T4
khut-gia̍h 1.0	kh u t_T4 g_T i a h_T8
khut-guân 1.0	kh u t_T4 g_T u a nn5
khut-ho̍k 1.0	kh u t_T4 h er k_T8
khut-io 1.0	kh u t_T4 i er1
khut-jio̍k 1.0	kh u t_T4 j_T i er k_T8
khut-khiok 1.0	kh u t_T4 kh i er k_T4
khut-kiô 1.0	kh u t_T4 k i er5
khut-kiông 1.0	kh u t_T4 k i er ng5
khut-kà 1.0	kh u t_T4 k a3
khut-kí 1.0	kh u t_T4 k i2
khut-kē 1.0	kh u t_T4 k e7
khut-lo̍h 1.0	kh u t_T4 l er h_T8
khut-lo̍h-khì 1.0	kh u t_T4 l er h_T8 kh i3
khut-sin 1.0	kh u t_T4 s i nn1
khut-thinn-lí 1.0	kh u t_T4 th i nn_T1 l i2
khut-tshioh 1.0	kh u t_T4 tsh i er h_T4
khut-tshioh-kak 1.0	kh u t_T4 tsh i er h_T4 k a k_T4
khut-tshíu 1.0	kh u t_T4 tsh i u2
khut-tsiông 1.0	kh u t_T4 ts i er ng5
khut-tsí 1.0	kh u t_T4 ts i2
khut-tsīu 1.0	kh u t_T4 ts i u7
khut-á 1.0	kh u t_T4 a2
khuà 1.0	kh u a3
khuà-gāi 1.0	kh u a3 g_T a i7
khuà-huân 1.0	kh u a3 h u a nn5
khuà-hái 1.0	kh u a3 h a i2
khuà-hâng 1.0	kh u a3 h a ng5
khuà-hē 1.0	kh u a3 h e7
khuà-kha 1.0	kh u a3 kh a1
khuà-kok 1.0	kh u a3 k er k_T4
khuà-liām 1.0	kh u a3 l i a m_T7
khuà-lī 1.0	kh u a3 l i7
khuà-lū 1.0	kh u a3 l u7
khuà-nî 1.0	kh u a3 n i5
khuà-sim 1.0	kh u a3 s i m_T1
khuà-suànn 1.0	kh u a3 s u a nn_T3
khuà-ta 1.0	kh u a3 t a1
khuà-tshián 1.0	kh u a3 tsh i a nn2
khuà-ì 1.0	kh u a3 i3
khuài 1.0	kh u a i3
khuài-hia 1.0	kh u a i3 h i a1
khuài-hing-khuài-thè 1.0	kh u a i3 h i ng1 kh u a i3 th e3
khuài-hâm 1.0	kh u a i3 h a m_T5
khuài-khuài 1.0	kh u a i3 kh u a i3
khuài-khuài-lo̍k-lo̍k 1.0	kh u a i3 kh u a i3 l er k_T8 l er k_T8
khuài-khuài-lâi 1.0	kh u a i3 kh u a i3 l a i5
khuài-kám 1.0	kh u a i3 k a m_T2
khuài-kín 1.0	kh u a i3 k i nn2
khuài-lo̍k 1.0	kh u a i3 l er k_T8
khuài-lāu 1.0	kh u a i3 l a u7
khuài-m̂ng 1.0	kh u a i3 ms_T ng5
khuài-piān 1.0	kh u a i3 p i a nn7
khuài-pìnn-bīn 1.0	kh u a i3 p i nn_T3 b_T i nn7
khuài-pōo 1.0	kh u a i3 p o7
khuài-sok 1.0	kh u a i3 s er k_T4
khuài-sìn 1.0	kh u a i3 s i nn3
khuài-sīu-khì 1.0	kh u a i3 s i u7 kh i3
khuài-thíng 1.0	kh u a i3 th i ng2
khuài-tshan 1.0	kh u a i3 tsh a nn1
khuài-tshia 1.0	kh u a i3 tsh i a1
khuài-tshia-tō 1.0	kh u a i3 tsh i a1 t er7
khuài-tsûn 1.0	kh u a i3 ts u nn5
khuài-tē 1.0	kh u a i3 t e7
khuài-ì 1.0	kh u a i3 i3
khuàinn 1.0	kh u a i nn_T3
khuàinn-ua̍h 1.0	kh u a i nn_T3 u a h_T8
khuàn 1.0	kh u a nn3
khuàn-bōo 1.0	kh u a nn3 b_T o7
khuàn-gia̍p 1.0	kh u a nn3 g_T i a p_T8
khuàn-huà 1.0	kh u a nn3 h u a3
khuàn-khǹg 1.0	kh u a nn3 kh ngs_T3
khuàn-kuan 1.0	kh u a nn3 k u a nn1
khuàn-kài 1.0	kh u a nn3 k a i3
khuàn-kái 1.0	kh u a nn3 k a i2
khuàn-kò 1.0	kh u a nn3 k er3
khuàn-siān 1.0	kh u a nn3 s i a nn7
khuàn-sè 1.0	kh u a nn3 s e3
khuàn-sè-bûn 1.0	kh u a nn3 s e3 b_T u nn5
khuàn-uì 1.0	kh u a nn3 u i3
khuàn-íu 1.0	kh u a nn3 i u2
khuànn 1.0	kh u a nn_T3
khuànn-buē-bîng 1.0	kh u a nn_T3 b_T u e7 b_T i ng5
khuànn-buē-khí 1.0	kh u a nn_T3 b_T u e7 kh i2
khuànn-buē-tio̍h 1.0	kh u a nn_T3 b_T u e7 t i er h_T8
khuànn-buē-tshut 1.0	kh u a nn_T3 b_T u e7 tsh u t_T4
khuànn-buē-tsīunn-ba̍k 1.0	kh u a nn_T3 b_T u e7 ts i u nn_T7 b_T a k_T8
khuànn-bô 1.0	kh u a nn_T3 b_T er5
khuànn-bô-ba̍k-tē 1.0	kh u a nn_T3 b_T er5 b_T a k_T8 t e7
khuànn-bô-khí 1.0	kh u a nn_T3 b_T er5 kh i2
khuànn-bô-tio̍h 1.0	kh u a nn_T3 b_T er5 t i er h_T8
khuànn-bāi 1.0	kh u a nn_T3 b_T a i7
khuànn-bāi-leh 1.0	kh u a nn_T3 b_T a i7 l e h_T4
khuànn-bē-bîng 1.0	kh u a nn_T3 b_T e7 b_T i ng5
khuànn-bē-hiáu 1.0	kh u a nn_T3 b_T e7 h i a u2
khuànn-bē-khí 1.0	kh u a nn_T3 b_T e7 kh i2
khuànn-bē-kuàn 1.0	kh u a nn_T3 b_T e7 k u a nn3
khuànn-bē-lâi 1.0	kh u a nn_T3 b_T e7 l a i5
khuànn-bē-tio̍h 1.0	kh u a nn_T3 b_T e7 t i er h_T8
khuànn-bē-tshut 1.0	kh u a nn_T3 b_T e7 tsh u t_T4
khuànn-bē-tsīunn-ba̍k 1.0	kh u a nn_T3 b_T e7 ts i u nn_T7 b_T a k_T8
khuànn-ge̍h 1.0	kh u a nn_T3 g_T e h_T8
khuànn-guā 1.0	kh u a nn_T3 g_T u a7
khuànn-gû 1.0	kh u a nn_T3 g_T u5
khuànn-gû-ê 1.0	kh u a nn_T3 g_T u5 e5
khuànn-gûn 1.0	kh u a nn_T3 g_T u nn5
khuànn-hiān-hiān 1.0	kh u a nn_T3 h i a nn7 h i a nn7
khuànn-hong-suí 1.0	kh u a nn_T3 h er ng1 s u i2
khuànn-hong-thâu 1.0	kh u a nn_T3 h er ng1 th a u5
khuànn-huat 1.0	kh u a nn_T3 h u a t_T4
khuànn-hue 1.0	kh u a nn_T3 h u e1
khuànn-hì 1.0	kh u a nn_T3 h i3
khuànn-hì-ê 1.0	kh u a nn_T3 h i3 e5
khuànn-hó 1.0	kh u a nn_T3 h er2
khuànn-hóng 1.0	kh u a nn_T3 h er ng2
khuànn-i-sing 1.0	kh u a nn_T3 i1 s i ng1
khuànn-ji̍t 1.0	kh u a nn_T3 j_T i t_T8
khuànn-ji̍t-su 1.0	kh u a nn_T3 j_T i t_T8 s u1
khuànn-jī 1.0	kh u a nn_T3 j_T i7
khuànn-kah-tshing-tshing-tshó-tshó 1.0	kh u a nn_T3 k a h_T4 tsh i ng1 tsh i ng1 tsh er2 tsh er2
khuànn-kah-ì 1.0	kh u a nn_T3 k a h_T4 i3
khuànn-khin 1.0	kh u a nn_T3 kh i nn1
khuànn-khui 1.0	kh u a nn_T3 kh u i1
khuànn-khuànn 1.0	kh u a nn_T3 kh u a nn_T3
khuànn-khuànn-lah 1.0	kh u a nn_T3 kh u a nn_T3 l a h_T4
khuànn-khuànn-leh 1.0	kh u a nn_T3 kh u a nn_T3 l e h_T4
khuànn-khuán 1.0	kh u a nn_T3 kh u a nn2
khuànn-kháu 1.0	kh u a nn_T3 kh a u2
khuànn-khì 1.0	kh u a nn_T3 kh i3
khuànn-khí 1.0	kh u a nn_T3 kh i2
khuànn-khí-lâi 1.0	kh u a nn_T3 kh i2 l a i5
khuànn-khǹg 1.0	kh u a nn_T3 kh ngs_T3
khuànn-ki-huē 1.0	kh u a nn_T3 k i1 h u e7
khuànn-kuè-ba̍k 1.0	kh u a nn_T3 k u e3 b_T a k_T8
khuànn-kuè-lâi 1.0	kh u a nn_T3 k u e3 l a i5
khuànn-kàu 1.0	kh u a nn_T3 k a u3
khuànn-kè 1.0	kh u a nn_T3 k e3
khuànn-kè-ba̍k 1.0	kh u a nn_T3 k e3 b_T a k_T8
khuànn-kè-kè 1.0	kh u a nn_T3 k e3 k e3
khuànn-kìnn 1.0	kh u a nn_T3 k i nn_T3
khuànn-kìnn-kìnn 1.0	kh u a nn_T3 k i nn_T3 k i nn_T3
khuànn-kòo 1.0	kh u a nn_T3 k o3
khuànn-kòo-ê 1.0	kh u a nn_T3 k o3 e5
khuànn-kē 1.0	kh u a nn_T3 k e7
khuànn-liáu-khuànn 1.0	kh u a nn_T3 l i a u2 kh u a nn_T3
khuànn-lo̍h-khì 1.0	kh u a nn_T3 l er h_T8 kh i3
khuànn-lâi 1.0	kh u a nn_T3 l a i5
khuànn-lâm 1.0	kh u a nn_T3 l a m_T5
khuànn-lâng 1.0	kh u a nn_T3 l a ng5
khuànn-lâng-bô 1.0	kh u a nn_T3 l a ng5 b_T er5
khuànn-lâng-ū 1.0	kh u a nn_T3 l a ng5 u7
khuànn-lí 1.0	kh u a nn_T3 l i2
khuànn-mah 1.0	kh u a nn_T3 m a h_T4
khuànn-me̍h 1.0	kh u a nn_T3 m e h_T8
khuànn-miā 1.0	kh u a nn_T3 m i a7
khuànn-miā-sian 1.0	kh u a nn_T3 m i a7 s i a nn1
khuànn-māi 1.0	kh u a nn_T3 m a i7
khuànn-māi-leh 1.0	kh u a nn_T3 m a i7 l e h_T4
khuànn-māi-tsi̍t-ē 1.0	kh u a nn_T3 m a i7 ts i t_T8 e7
khuànn-m̂ng 1.0	kh u a nn_T3 ms_T ng5
khuànn-m̄-khí 1.0	kh u a nn_T3 ms_T7 kh i2
khuànn-m̄-kìnn 1.0	kh u a nn_T3 ms_T7 k i nn_T3
khuànn-m̄-tio̍h 1.0	kh u a nn_T3 ms_T7 t i er h_T8
khuànn-m̄-tshut 1.0	kh u a nn_T3 ms_T7 tsh u t_T4
khuànn-m̄-tsīunn-ba̍k 1.0	kh u a nn_T3 ms_T7 ts i u nn_T7 b_T a k_T8
khuànn-nāu-jia̍t 1.0	kh u a nn_T3 n a u7 j_T i a t_T8
khuànn-phue 1.0	kh u a nn_T3 ph u e1
khuànn-phuà 1.0	kh u a nn_T3 ph u a3
khuànn-pò-tsuá 1.0	kh u a nn_T3 p er3 ts u a2
khuànn-pān 1.0	kh u a nn_T3 p a nn7
khuànn-pān-sè 1.0	kh u a nn_T3 p a nn7 s e3
khuànn-pān-sì 1.0	kh u a nn_T3 p a nn7 s i3
khuànn-pēnn 1.0	kh u a nn_T3 p e nn_T7
khuànn-pēnn-lâng 1.0	kh u a nn_T3 p e nn_T7 l a ng5
khuànn-pīnn 1.0	kh u a nn_T3 p i nn_T7
khuànn-pīnn-lâng 1.0	kh u a nn_T3 p i nn_T7 l a ng5
khuànn-sai 1.0	kh u a nn_T3 s a i1
khuànn-sam-sik 1.0	kh u a nn_T3 s a m_T1 s i k_T4
khuànn-sin-nîu 1.0	kh u a nn_T3 s i nn1 n i u5
khuànn-siánn 1.0	kh u a nn_T3 s i a nn_T2
khuànn-suah 1.0	kh u a nn_T3 s u a h_T4
khuànn-suann 1.0	kh u a nn_T3 s u a nn_T1
khuànn-sue 1.0	kh u a nn_T3 s u e1
khuànn-sue-siâu 1.0	kh u a nn_T3 s u e1 s i a u5
